unix_epoch_in_miliseconds,timezone_at_sync,bbi
1637151780599,-8,869
1637151781468,-8,858
1637151782326,-8,852
1637151783178,-8,842
1637151784020,-8,848
1637151784870,-8,827
1637151785697,-8,821
1637151786518,-8,863
1637151787381,-8,897
1637151788278,-8,910
1637151789191,-8,920
1637151790111,-8,900
1637151791011,-8,875
1637151791886,-8,854
1637151792740,-8,855
1637151793598,-8,836
1637151794434,-8,832
1637151795266,-8,857
1637151796123,-8,866
1637151796989,-8,867
1637151797858,-8,874
1637151798732,-8,887
1637151799619,-8,898
1637151800517,-8,911
1637151801428,-8,904
1637151802334,-8,893
1637151803227,-8,897
1637151804124,-8,877
1637151805001,-8,835
1637151805836,-8,823
1637151806661,-8,831
1637151807492,-8,883
1637151808375,-8,858
1637151809233,-8,862
1637151810095,-8,861
1637151810958,-8,861
1637151811819,-8,864
1637151812683,-8,854
1637151813537,-8,800
1637151814337,-8,803
1637151815142,-8,861
1637151816003,-8,879
1637151816882,-8,853
1637151817735,-8,815
1637151818550,-8,799
1637151819352,-8,823
1637151820175,-8,843
1637151821018,-8,861
1637151821879,-8,869
1637151822748,-8,863
1637151823612,-8,832
1637151824444,-8,847
1637151825291,-8,818
1637151826109,-8,864
1637151826973,-8,866
1637151829233,-8,874
1637151830107,-8,895
1637151831002,-8,885
1637151831887,-8,852
1637151832739,-8,814
1637151833556,-8,822
1637151834378,-8,846
1637151835224,-8,845
1637151836069,-8,854
1637151836923,-8,859
1637151837784,-8,825
1637151838609,-8,755
1637151839364,-8,841
1637151840205,-8,965
1637151841170,-8,979
1637151842152,-8,922
1637151843074,-8,868
1637151843942,-8,817
1637151844759,-8,747
1637151845506,-8,806
1637151846315,-8,819
1637151847134,-8,809
1637151847943,-8,788
1637151848731,-8,795
1637151849526,-8,792
1637151850320,-8,803
1637151851123,-8,798
1637151851921,-8,758
1637151852679,-8,716
1637151853395,-8,751
1637151854148,-8,766
1637151854914,-8,749
1637151855663,-8,763
1637151856426,-8,786
1637151857212,-8,802
1637151858017,-8,797
1637151858814,-8,757
1637151859571,-8,739
1637151860310,-8,769
1637151861079,-8,791
1637151861871,-8,816
1637151862687,-8,823
1637151863510,-8,719
1637151864229,-8,637
1637151864866,-8,780
1637151865649,-8,829
1637151866478,-8,828
1637151867306,-8,814
1637151868120,-8,806
1637151868926,-8,809
1637151869738,-8,809
1637151870547,-8,800
1637151871347,-8,786
1637151872133,-8,777
1637151872910,-8,791
1637151873704,-8,793
1637151874497,-8,811
1637151875308,-8,815
1637151876123,-8,807
1637151876930,-8,779
1637151877712,-8,772
1637151878484,-8,786
1637151879270,-8,794
1637151880064,-8,799
1637151880863,-8,814
1637151881679,-8,815
1637151882494,-8,794
1637151883288,-8,781
1637151884069,-8,782
1637151884851,-8,802
1637151885657,-8,810
1637151886467,-8,810
1637151887277,-8,822
1637151888099,-8,831
1637151888930,-8,814
1637151889746,-8,818
1637151890564,-8,809
1637151891373,-8,761
1637151892134,-8,749
1637151892883,-8,790
1637151893674,-8,816
1637151894490,-8,826
1637151895316,-8,812
1637151896128,-8,799
1637151896927,-8,798
1637151897728,-8,802
1637151898530,-8,797
1637151899327,-8,807
1637151900134,-8,813
1637151900947,-8,800
1637151901751,-8,791
1637151902542,-8,791
1637151903333,-8,809
1637151904142,-8,904
1637151905046,-8,891
1637151905963,-8,905
1637151906868,-8,842
1637151907710,-8,899
1637151908609,-8,901
1637151909510,-8,890
1637151911178,-8,848
1637151912026,-8,803
1637151912829,-8,729
1637151913558,-8,791
1637151914352,-8,830
1637151915182,-8,835
1637151916017,-8,828
1637151916845,-8,845
1637151917690,-8,890
1637151918584,-8,924
1637151919508,-8,843
1637151920351,-8,848
1637151921199,-8,838
1637151922037,-8,805
1637151925378,-8,792
1637151926170,-8,866
1637151927036,-8,943
1637151927979,-8,944
1637151928923,-8,884
1637151929810,-8,862
1637151930672,-8,883
1637151931555,-8,919
1637151932474,-8,968
1637151933442,-8,949
1637151934393,-8,855
1637151935248,-8,903
1637151936151,-8,893
1637151937044,-8,893
1637151937937,-8,873
1637151938813,-8,867
1637151939680,-8,836
1637151940516,-8,738
1637151941254,-8,743
1637151941997,-8,842
1637151942841,-8,822
1637151943663,-8,800
1637151944463,-8,845
1637151945308,-8,842
1637151946150,-8,665
1637151946817,-8,788
1637151947605,-8,833
1637151948438,-8,807
1637151949245,-8,705
1637151949950,-8,794
1637151950747,-8,882
1637151951629,-8,907
1637151952536,-8,922
1637151953458,-8,910
1637151954368,-8,888
1637151955257,-8,858
1637151956115,-8,802
1637151956917,-8,735
1637151957652,-8,851
