unix_epoch_in_miliseconds,timezone_at_sync,bbi
1636979220621,-8,837
1636979221458,-8,835
1636979222293,-8,861
1636979223154,-8,835
1636979223989,-8,851
1636979224843,-8,851
1636979225694,-8,836
1636979226530,-8,843
1636979227373,-8,842
1636979228215,-8,850
1636979230067,-8,837
1636979230904,-8,817
1636979231721,-8,824
1636979232545,-8,840
1636979233385,-8,828
1636979234846,-8,840
1636979235686,-8,840
1636979236526,-8,817
1636979237347,-8,845
1636979238192,-8,830
1636979239022,-8,818
1636979239840,-8,814
1636979240654,-8,813
1636979241468,-8,812
1636979242280,-8,810
1636979243090,-8,809
1636979243899,-8,815
1636979244714,-8,815
1636979245532,-8,812
1636979246344,-8,811
1636979247155,-8,813
1636979247968,-8,811
1636979248779,-8,795
1636979249576,-8,786
1636979250362,-8,797
1636979251159,-8,808
1636979251967,-8,793
1636979252760,-8,781
1636979253542,-8,806
1636979254348,-8,809
1636979255157,-8,810
1636979255967,-8,813
1636979256780,-8,812
1636979257596,-8,830
1636979258426,-8,820
1636979259246,-8,835
1636979260081,-8,816
1636979260897,-8,818
1636979261717,-8,813
1636979262530,-8,816
1636979263346,-8,820
1636979264166,-8,834
1636979265000,-8,816
1636979265818,-8,834
1636979266652,-8,828
1636979267480,-8,847
1636979268327,-8,823
1636979269150,-8,817
1636979270970,-8,828
1636979271798,-8,840
1636979272638,-8,817
1636979273455,-8,821
1636979274276,-8,814
1636979275092,-8,812
1636979275904,-8,803
1636979276707,-8,805
1636979277512,-8,814
1636979278326,-8,807
1636979279138,-8,822
1636979279960,-8,819
1636979280779,-8,814
1636979281593,-8,806
1636979282399,-8,813
1636979283829,-8,785
1636979284614,-8,806
1636979285420,-8,833
1636979286255,-8,829
1636979287084,-8,817
1636979287901,-8,817
1636979288718,-8,814
1636979289532,-8,814
1636979290349,-8,807
1636979291156,-8,812
1636979291968,-8,807
1636979292775,-8,788
1636979293563,-8,781
1636979294346,-8,810
1636979295156,-8,807
1636979295963,-8,805
1636979296768,-8,816
1636979297584,-8,816
1636979298403,-8,811
1636979299214,-8,809
1636979300023,-8,815
1636979300838,-8,811
1636979301649,-8,800
1636979302451,-8,771
1636979303222,-8,809
1636979304031,-8,793
1636979304824,-8,770
1636979305594,-8,792
1636979306388,-8,772
1636979307160,-8,808
1636979307968,-8,804
1636979308772,-8,796
1636979309568,-8,795
1636979310367,-8,815
1636979311182,-8,825
1636979312007,-8,790
1636979312797,-8,813
1636979313610,-8,833
1636979314445,-8,827
1636979315272,-8,812
1636979316084,-8,821
1636979316905,-8,844
1636979317749,-8,837
1636979318587,-8,821
1636979319408,-8,841
1636979320249,-8,836
1636979321085,-8,814
1636979321899,-8,796
1636979322697,-8,793
1636979323490,-8,792
1636979324282,-8,808
1636979325090,-8,798
1636979325888,-8,775
1636979326666,-8,806
1636979327472,-8,811
1636979328283,-8,811
1636979329094,-8,812
1636979329906,-8,829
1636979330738,-8,852
1636979331590,-8,815
1636979332405,-8,836
1636979333241,-8,844
1636979334085,-8,828
1636979334916,-8,828
1636979335744,-8,837
1636979336581,-8,821
1636979337402,-8,815
1636979338217,-8,809
1636979340029,-8,809
1636979340838,-8,809
1636979341647,-8,798
1636979342445,-8,787
1636979343232,-8,805
1636979344039,-8,811
1636979344850,-8,807
1636979345657,-8,803
1636979346460,-8,794
1636979347254,-8,801
1636979348056,-8,790
1636979348846,-8,810
1636979349656,-8,811
1636979350467,-8,813
1636979351280,-8,814
1636979352096,-8,816
1636979352912,-8,853
1636979353765,-8,819
1636979354584,-8,811
1636979355395,-8,815
1636979356833,-8,764
1636979357597,-8,774
1636979358371,-8,774
1636979360149,-8,771
1636979360920,-8,797
1636979361717,-8,808
1636979362525,-8,836
1636979363361,-8,900
1636979365103,-8,911
1636979366014,-8,903
1636979366917,-8,906
1636979367825,-8,877
1636979368702,-8,897
1636979369599,-8,911
1636979370510,-8,892
1636979371402,-8,897
