unix_epoch_in_miliseconds,timezone_at_sync,bbi
1636912750296,-8,704
1636912751000,-8,802
1636912751802,-8,879
1636912752681,-8,882
1636912753563,-8,814
1636912754384,-8,808
1636912755192,-8,778
1636912755970,-8,756
1636912756726,-8,741
1636912757467,-8,865
1636912759319,-8,961
1636912761565,-8,955
1636912762520,-8,938
1636912764792,-8,960
1636912765752,-8,982
1636912766734,-8,976
1636912767710,-8,913
1636912768623,-8,885
1636912769512,-8,896
1636912770408,-8,766
1636912771174,-8,896
1636912772070,-8,909
1636912772979,-8,933
1636912773920,-8,904
1636912774824,-8,861
1636912775685,-8,866
1636912776551,-8,912
1636912777463,-8,928
1636912779336,-8,999
1636912780335,-8,1112
1636912781447,-8,1058
1636912782505,-8,988
1636912783501,-8,979
1636912784480,-8,1018
1636912785498,-8,1084
1636912786582,-8,1003
1636912787585,-8,991
1636912788578,-8,934
1636912789512,-8,900
1636912790412,-8,809
1636912791221,-8,997
1636912792218,-8,868
1636912794086,-8,858
1636912794944,-8,850
1636912795794,-8,858
1636912796652,-8,870
1636912797522,-8,877
1636912799242,-8,958
1636912800200,-8,913
1636912801769,-8,831
1636912802600,-8,898
1636912803498,-8,822
1636912804320,-8,812
1636912805132,-8,896
1636912806030,-8,842
1636912806872,-8,859
1636912807731,-8,902
1636912808633,-8,1011
1636912809644,-8,922
1636912810575,-8,897
1636912811472,-8,883
1636912812355,-8,864
1636912813219,-8,848
1636912814067,-8,837
1636912815744,-8,842
1636912816586,-8,787
1636912817970,-8,758
1636912818728,-8,632
1636912819360,-8,840
1636912821404,-8,860
1636912822264,-8,831
1636912823095,-8,839
1636912823934,-8,856
1636912824790,-8,855
1636912825656,-8,840
1636912826496,-8,802
1636912827298,-8,786
1636912828084,-8,802
1636912828886,-8,832
1636912830592,-8,872
1636912831464,-8,836
1636912832300,-8,830
1636912833130,-8,859
1636912833998,-8,842
1636912834840,-8,811
1636912835651,-8,871
1636912836522,-8,881
1636912837403,-8,869
1636912838273,-8,871
1636912839144,-8,972
1636912840116,-8,900
1636912841016,-8,843
1636912841859,-8,815
1636912843536,-8,806
1636912844342,-8,792
1636912845134,-8,800
1636912845934,-8,808
1636912846748,-8,820
1636912847568,-8,801
1636912848369,-8,808
