unix_epoch_in_miliseconds,timezone_at_sync,bbi
1636617960220,-8,761
1636617960981,-8,752
1636617961733,-8,747
1636617962480,-8,752
1636617963235,-8,741
1636617963976,-8,738
1636617964714,-8,740
1636617965454,-8,743
1636617966197,-8,744
1636617966942,-8,750
1636617967692,-8,741
1636617968433,-8,736
1636617969169,-8,729
1636617969898,-8,751
1636617970654,-8,770
1636617971424,-8,779
1636617972203,-8,785
1636617972988,-8,794
1636617973782,-8,802
1636617974587,-8,805
1636617975392,-8,808
1636617976200,-8,812
1636617977012,-8,810
1636617977822,-8,809
1636617978634,-8,810
1636617979444,-8,808
1636617980252,-8,805
1636617981057,-8,807
1636617981864,-8,761
1636617983301,-8,779
1636617984080,-8,779
1636617984859,-8,799
1636617985662,-8,766
1636617986428,-8,797
1636617987225,-8,806
1636617988031,-8,758
1636617988789,-8,783
1636617989678,-8,782
1636617990460,-8,769
1636617991229,-8,755
1636617991984,-8,742
1636617992726,-8,734
1636617993462,-8,734
1636617994196,-8,743
1636617994939,-8,753
1636617995692,-8,762
1636617996454,-8,773
1636617997823,-8,795
1636617998618,-8,805
1636617999423,-8,822
1636618001249,-8,835
1636618002084,-8,843
1636618002927,-8,853
1636618003780,-8,860
1636618004640,-8,864
1636618006400,-8,877
1636618007277,-8,828
1636618008105,-8,820
1636618008925,-8,814
1636618009745,-8,811
1636618010556,-8,809
1636618011365,-8,778
1636618012143,-8,779
1636618012922,-8,792
1636618014373,-8,787
1636618015160,-8,806
1636618015966,-8,791
1636618016760,-8,780
1636618017540,-8,808
1636618018348,-8,792
1636618019140,-8,786
1636618019926,-8,797
1636618020726,-8,794
1636618021520,-8,787
1636618022307,-8,785
1636618023092,-8,790
1636618023882,-8,771
1636618024657,-8,787
1636618025444,-8,786
1636618026230,-8,756
1636618026986,-8,789
1636618027775,-8,792
1636618028691,-8,785
1636618029476,-8,759
1636618030235,-8,739
1636618030974,-8,744
1636618031718,-8,766
1636618032487,-8,757
1636618033244,-8,754
1636618033998,-8,752
1636618034750,-8,753
1636618035503,-8,754
1636618036783,-8,781
1636618037564,-8,806
1636618038370,-8,850
1636618040225,-8,871
1636618041096,-8,894
1636618041990,-8,906
1636618042896,-8,894
1636618043790,-8,870
1636618045396,-8,768
1636618046164,-8,767
1636618046931,-8,796
1636618047727,-8,799
1636618049320,-8,823
1636618050143,-8,798
1636618050941,-8,782
1636618051723,-8,805
1636618052532,-8,804
1636618053336,-8,774
1636618054110,-8,816
1636618054926,-8,807
1636618055733,-8,798
1636618057352,-8,802
1636618058154,-8,781
1636618058935,-8,812
1636618059747,-8,797
1636618060548,-8,788
1636618061336,-8,815
1636618062151,-8,805
1636618062956,-8,784
1636618063740,-8,802
1636618065048,-8,754
1636618065802,-8,820
1636618066622,-8,718
1636618069220,-8,764
1636618069984,-8,815
1636618070799,-8,828
1636618071627,-8,833
1636618072460,-8,839
1636618073303,-8,853
1636618074156,-8,865
1636618075021,-8,832
1636618075853,-8,833
1636618076686,-8,981
1636618078476,-8,793
1636618079269,-8,792
1636618080061,-8,782
1636618080843,-8,765
1636618081614,-8,766
1636618082380,-8,764
1636618083144,-8,748
1636618083892,-8,755
1636618084647,-8,750
1636618085398,-8,722
1636618086120,-8,744
1636618086864,-8,754
1636618087618,-8,764
1636618088382,-8,769
1636618089154,-8,774
1636618089928,-8,780
1636618090708,-8,785
1636618091493,-8,791
1636618092284,-8,804
1636618093093,-8,835
1636618093928,-8,843
1636618094771,-8,859
1636618095630,-8,885
1636618096515,-8,878
1636618097396,-8,852
1636618098248,-8,818
1636618099066,-8,791
1636618099857,-8,768
1636618100625,-8,755
1636618102072,-8,745
1636618102817,-8,792
1636618103609,-8,765
1636618104374,-8,762
1636618105141,-8,763
1636618105904,-8,768
1636618106672,-8,762
1636618107434,-8,739
1636618108173,-8,748
1636618109040,-8,752
1636618109792,-8,745
1636618110537,-8,737
1636618111274,-8,729
1636618112003,-8,726
1636618112733,-8,735
1636618113468,-8,747
1636618114215,-8,748
1636618114963,-8,752
1636618115715,-8,767
1636618116485,-8,783
1636618117268,-8,796
1636618118064,-8,827
1636618118891,-8,848
1636618119739,-8,849
1636618120592,-8,856
1636618121448,-8,857
1636618122305,-8,856
1636618123161,-8,899
1636618124060,-8,903
1636618125840,-8,857
1636618126697,-8,845
1636618127542,-8,841
1636618128383,-8,834
1636618129863,-8,798
1636618130661,-8,771
1636618131432,-8,773
1636618133207,-8,777
1636618133984,-8,781
1636618134765,-8,783
1636618135548,-8,785
1636618136333,-8,789
1636618137125,-8,791
1636618137916,-8,794
1636618138710,-8,799
1636618139509,-8,807
1636618140316,-8,819
1636618141164,-8,828
1636618141992,-8,831
1636618142823,-8,796
1636618143619,-8,792
1636618144413,-8,919
1636618146084,-8,808
1636618146892,-8,802
1636618147694,-8,796
1636618148490,-8,788
1636618149278,-8,785
1636618150064,-8,784
1636618150848,-8,783
1636618151631,-8,783
1636618152414,-8,783
1636618153197,-8,782
1636618153984,-8,780
1636618154764,-8,762
1636618155526,-8,741
1636618156267,-8,744
1636618157011,-8,752
1636618158544,-8,806
1636618159350,-8,786
1636618160136,-8,803
1636618160939,-8,785
1636618162500,-8,789
1636618163289,-8,813
1636618164102,-8,778
1636618164880,-8,827
1636618165709,-8,787
1636618166496,-8,802
1636618167298,-8,815
1636618168113,-8,813
1636618168926,-8,785
1636618169716,-8,788
1636618170504,-8,780
1636618171284,-8,775
1636618172059,-8,788
1636618172847,-8,725
1636618173738,-8,790
1636618174528,-8,793
1636618175321,-8,787
1636618176108,-8,785
1636618176893,-8,790
1636618177685,-8,795
1636618178480,-8,796
1636618179276,-8,797
1636618180073,-8,794
1636618180867,-8,785
1636618181660,-8,784
1636618182444,-8,783
1636618183227,-8,782
1636618184009,-8,784
1636618184793,-8,789
1636618185583,-8,789
1636618186372,-8,788
1636618187160,-8,783
1636618187943,-8,769
1636618188712,-8,756
1636618189472,-8,784
1636618190256,-8,786
1636618191042,-8,774
1636618191816,-8,786
1636618192602,-8,818
1636618194148,-8,799
1636618194947,-8,821
1636618195768,-8,794
1636618196562,-8,780
1636618197347,-8,817
1636618198164,-8,761
1636618198925,-8,778
1636618199703,-8,782
1636618200485,-8,771
1636618201830,-8,775
1636618202605,-8,748
1636618203353,-8,809
1636618205165,-8,771
1636618205936,-8,774
1636618206710,-8,791
1636618207501,-8,761
1636618208262,-8,765
1636618209824,-8,794
1636618210618,-8,818
1636618211436,-8,789
1636618212225,-8,780
1636618213007,-8,789
1636618213796,-8,818
1636618214614,-8,726
1636618215340,-8,719
1636618216059,-8,758
1636618216819,-8,725
1636618217544,-8,670
1636618218214,-8,745
1636618218959,-8,761
1636618219720,-8,782
1636618220506,-8,778
1636618221284,-8,810
1636618222094,-8,796
1636618222890,-8,799
1636618223689,-8,799
1636618224493,-8,779
1636618225272,-8,765
1636618226037,-8,777
1636618226814,-8,779
1636618227593,-8,763
1636618229124,-8,780
1636618229904,-8,758
1636618230662,-8,762
1636618231424,-8,758
1636618232186,-8,742
1636618232928,-8,741
1636618233669,-8,777
1636618234446,-8,745
1636618235191,-8,733
1636618235927,-8,729
1636618237551,-8,753
