unix_epoch_in_miliseconds,timezone_at_sync,bbi
1637395300495,-8,789
1637395301227,-8,773
1637395302000,-8,759
1637395302759,-8,812
1637395303571,-8,796
1637395304367,-8,765
1637395306134,-8,754
1637395306888,-8,763
1637395307651,-8,773
1637395308424,-8,891
1637395309315,-8,952
1637395310759,-8,750
1637395311509,-8,744
1637395312253,-8,745
1637395314004,-8,760
1637395314764,-8,769
1637395315533,-8,791
1637395316324,-8,798
1637395317122,-8,796
1637395317919,-8,829
1637395318748,-8,837
1637395319585,-8,738
1637395320323,-8,729
1637395321052,-8,736
1637395321790,-8,746
1637395322536,-8,750
1637395323286,-8,744
1637395324030,-8,742
1637395324772,-8,734
1637395325923,-8,692
1637395326615,-8,671
1637395327286,-8,684
1637395328973,-8,707
1637395329680,-8,701
1637395330381,-8,700
1637395331081,-8,700
1637395331781,-8,688
1637395332860,-8,695
1637395333555,-8,706
1637395334261,-8,705
1637395335969,-8,723
1637395336692,-8,737
1637395337429,-8,739
1637395338168,-8,757
1637395338925,-8,833
1637395339761,-8,803
1637395340564,-8,755
1637395341319,-8,747
1637395342066,-8,760
1637395342826,-8,768
1637395344094,-8,757
1637395344851,-8,761
1637395345612,-8,777
1637395346393,-8,791
1637395347184,-8,792
1637395347976,-8,792
1637395348768,-8,767
1637395349535,-8,764
1637395350304,-8,760
1637395351064,-8,772
1637395351836,-8,793
1637395352629,-8,805
1637395353434,-8,804
1637395354239,-8,781
1637395355020,-8,782
1637395355802,-8,798
1637395356600,-8,767
1637395357367,-8,770
1637395359138,-8,770
1637395359908,-8,762
1637395360670,-8,745
1637395361415,-8,746
1637395362161,-8,772
1637395362936,-8,764
1637395363700,-8,752
1637395364452,-8,752
1637395365204,-8,744
1637395365948,-8,742
1637395367137,-8,689
1637395367826,-8,690
1637395368516,-8,708
1637395370228,-8,704
1637395370932,-8,724
1637395371656,-8,768
1637395372424,-8,786
1637395373210,-8,772
1637395373985,-8,763
1637395374748,-8,746
1637395375494,-8,745
1637395376239,-8,736
1637395376975,-8,730
1637395378168,-8,750
1637395378918,-8,750
1637395379668,-8,748
1637395380417,-8,739
1637395381156,-8,727
1637395381883,-8,701
1637395382584,-8,672
1637395383256,-8,672
1637395384931,-8,701
1637395385632,-8,726
1637395386358,-8,733
1637395387091,-8,741
1637395387832,-8,754
1637395389094,-8,729
1637395389823,-8,725
1637395390548,-8,718
1637395392266,-8,710
1637395392976,-8,699
1637395393675,-8,686
1637395394361,-8,687
1637395395048,-8,686
1637395396083,-8,673
1637395396756,-8,666
1637395397422,-8,671
1637395399097,-8,687
1637395399784,-8,690
1637395400474,-8,697
1637395401171,-8,694
1637395401865,-8,700
1637395403083,-8,741
1637395403824,-8,700
1637395404524,-8,694
1637395406222,-8,694
1637395406916,-8,686
1637395407602,-8,688
1637395408290,-8,683
1637395408973,-8,681
1637395410037,-8,715
1637395410752,-8,716
1637395411468,-8,725
1637395413197,-8,727
1637395413924,-8,730
1637395414654,-8,739
1637395415393,-8,734
1637395416127,-8,732
1637395416862,-8,722
1637395417584,-8,741
1637395418325,-8,768
1637395419093,-8,734
1637395419827,-8,716
1637395420981,-8,729
1637395421710,-8,712
1637395422422,-8,707
1637395424127,-8,705
1637395424832,-8,691
1637395425523,-8,682
1637395426205,-8,659
1637395426864,-8,664
1637395427901,-8,697
1637395428598,-8,701
1637395429299,-8,697
1637395429997,-8,683
1637395430680,-8,678
1637395431358,-8,688
1637395432046,-8,681
1637395432727,-8,687
1637395433982,-8,821
1637395434803,-8,732
1637395435535,-8,721
1637395437258,-8,730
1637395437988,-8,746
1637395438734,-8,745
1637395439479,-8,750
1637395440229,-8,747
1637395440982,-8,746
1637395441728,-8,749
1637395442477,-8,740
1637395443217,-8,729
1637395443946,-8,697
1637395445061,-8,743
1637395445804,-8,755
1637395446559,-8,750
1637395447313,-8,747
