unix_epoch_in_miliseconds,timezone_at_sync,bbi
1637499194752,-8,828
1637499195581,-8,823
1637499196404,-8,809
1637499197213,-8,814
1637499198027,-8,819
1637499198846,-8,841
1637499199689,-8,823
1637499200512,-8,828
1637499201340,-8,876
1637499202216,-8,856
1637499203072,-8,826
1637499204903,-8,865
1637499205768,-8,874
1637499206642,-8,838
1637499207480,-8,833
1637499208313,-8,826
1637499209142,-8,822
1637499209964,-8,815
1637499210779,-8,800
1637499211579,-8,815
1637499212394,-8,819
1637499213778,-8,786
1637499214564,-8,778
1637499215342,-8,753
1637499217097,-8,751
1637499217848,-8,761
1637499218609,-8,852
1637499220096,-8,772
1637499220868,-8,763
1637499221631,-8,768
1637499222399,-8,776
1637499224181,-8,791
1637499224972,-8,817
1637499225789,-8,864
1637499226653,-8,881
1637499227534,-8,836
1637499228992,-8,803
1637499229795,-8,801
1637499230596,-8,802
1637499231405,-8,819
1637499232224,-8,857
1637499233081,-8,862
1637499233943,-8,856
1637499234799,-8,846
1637499235648,-8,840
1637499236488,-8,804
1637499237292,-8,827
1637499238119,-8,821
1637499238940,-8,861
1637499240624,-8,836
1637499241460,-8,834
1637499242294,-8,852
1637499243146,-8,838
1637499244977,-8,855
1637499245832,-8,819
1637499246651,-8,840
1637499247491,-8,831
1637499248322,-8,822
1637499249157,-8,835
1637499249992,-8,822
1637499250814,-8,802
1637499251616,-8,804
1637499252420,-8,812
1637499253850,-8,814
1637499254664,-8,833
1637499255497,-8,835
1637499256338,-8,822
1637499257160,-8,832
1637499257992,-8,816
1637499258808,-8,824
1637499259632,-8,825
1637499260458,-8,822
1637499261280,-8,816
1637499262096,-8,808
1637499262904,-8,810
1637499263714,-8,817
1637499265336,-8,803
1637499266139,-8,776
1637499266915,-8,800
1637499267715,-8,811
1637499268532,-8,812
1637499269344,-8,810
1637499270154,-8,823
1637499270977,-8,860
1637499271837,-8,850
1637499272694,-8,866
1637499273560,-8,896
1637499274456,-8,833
1637499275289,-8,838
1637499276127,-8,839
1637499277965,-8,819
1637499278784,-8,846
1637499279630,-8,841
1637499280471,-8,848
1637499281319,-8,839
1637499282836,-8,833
1637499283669,-8,829
1637499284498,-8,833
1637499285334,-8,802
1637499286136,-8,772
1637499286908,-8,812
1637499287720,-8,827
1637499289480,-8,816
1637499290296,-8,810
1637499291106,-8,815
1637499291921,-8,856
1637499292777,-8,913
1637499294696,-8,936
1637499295632,-8,912
1637499296544,-8,886
1637499297430,-8,876
1637499298306,-8,871
1637499299894,-8,873
1637499300767,-8,895
1637499301662,-8,869
1637499302539,-8,901
1637499303488,-8,904
1637499304392,-8,887
1637499305279,-8,854
1637499306133,-8,857
1637499307993,-8,855
1637499308848,-8,870
1637499309718,-8,831
1637499310549,-8,847
1637499311396,-8,831
1637499312892,-8,807
1637499313699,-8,826
1637499314525,-8,863
1637499315394,-8,862
1637499316256,-8,844
1637499317100,-8,903
1637499318003,-8,916
1637499318919,-8,867
1637499320792,-8,864
1637499321656,-8,872
1637499322528,-8,869
1637499323397,-8,825
1637499324222,-8,838
1637499325063,-8,841
1637499325904,-8,840
1637499326744,-8,821
1637499327565,-8,801
1637499328366,-8,818
1637499329831,-8,801
1637499330632,-8,814
1637499331446,-8,828
1637499332279,-8,817
1637499333096,-8,809
1637499333905,-8,812
1637499334717,-8,850
1637499335567,-8,837
1637499336408,-8,816
1637499337224,-8,836
1637499338060,-8,838
1637499338898,-8,817
1637499339715,-8,817
1637499341400,-8,849
1637499342249,-8,838
1637499343087,-8,851
1637499343938,-8,847
1637499344793,-8,839
1637499345632,-8,828
1637499346460,-8,824
1637499347284,-8,856
1637499348140,-8,824
1637499349962,-8,862
1637499350824,-8,863
1637499351687,-8,849
1637499352536,-8,863
1637499353399,-8,875
1637499355017,-8,849
1637499355866,-8,831
1637499356697,-8,816
1637499357519,-8,809
1637499358328,-8,784
1637499359112,-8,800
1637499359912,-8,847
1637499360759,-8,815
1637499362384,-8,821
1637499363205,-8,819
1637499364024,-8,812
1637499364836,-8,810
1637499365650,-8,814
1637499366464,-8,809
1637499367273,-8,783
1637499368056,-8,778
1637499368834,-8,777
1637499370400,-8,777
1637499371177,-8,783
1637499371960,-8,810
1637499372770,-8,798
1637499373573,-8,779
1637499374352,-8,797
1637499375149,-8,788
1637499375937,-8,806
1637499376743,-8,780
1637499377534,-8,762
1637499378296,-8,809
1637499379105,-8,828
1637499379933,-8,847
1637499380780,-8,803
1637499382424,-8,854
1637499383278,-8,869
1637499384147,-8,864
1637499385011,-8,816
1637499386830,-8,810
1637499387640,-8,810
1637499388450,-8,808
1637499389258,-8,820
1637499390078,-8,823
1637499391555,-8,841
1637499392396,-8,857
1637499393253,-8,839
1637499395099,-8,829
1637499395928,-8,830
1637499396758,-8,821
1637499397579,-8,786
1637499398365,-8,803
1637499399840,-8,871
1637499400711,-8,817
1637499401528,-8,857
1637499402391,-8,841
1637499403232,-8,856
1637499404088,-8,817
1637499404905,-8,809
1637499405714,-8,808
1637499407336,-8,815
1637499408151,-8,818
1637499408969,-8,820
1637499409789,-8,861
1637499410657,-8,855
1637499411512,-8,854
1637499412366,-8,852
