unix_epoch_in_miliseconds,timezone_at_sync,bbi
1635984666524,-7,476
1635984669664,-7,723
1635984670387,-7,793
1635984671180,-7,731
1635984671911,-7,750
1635984672661,-7,738
1635984673872,-7,787
1635984674659,-7,795
1635984675454,-7,803
1635984677260,-7,681
1635984677941,-7,680
1635984678621,-7,763
1635984679384,-7,692
1635984680076,-7,689
1635984680767,-7,723
1635984681490,-7,754
1635984682244,-7,761
1635984683005,-7,767
1635984683772,-7,790
1635984684565,-7,792
1635984685357,-7,777
1635984686134,-7,770
1635984686904,-7,792
1635984687696,-7,835
1635984688533,-7,870
1635984689403,-7,793
1635984690196,-7,746
1635984690942,-7,753
1635984691695,-7,753
1635984692929,-7,733
1635984693662,-7,770
1635984694432,-7,723
1635984696157,-7,694
1635984696851,-7,700
1635984697551,-7,708
1635984698259,-7,645
1635984698904,-7,622
1635984699778,-7,645
1635984700423,-7,657
1635984701080,-7,656
1635984702740,-7,661
1635984703401,-7,662
1635984704063,-7,668
1635984704731,-7,672
1635984705403,-7,673
1635984706077,-7,675
1635984706752,-7,678
1635984707430,-7,673
1635984708103,-7,659
1635984708762,-7,664
1635984709771,-7,670
1635984710441,-7,670
1635984711111,-7,667
1635984712782,-7,674
1635984713456,-7,703
1635984714159,-7,760
1635984714919,-7,699
1635984715618,-7,643
1635984716264,-7,625
1635984716889,-7,632
1635984717521,-7,627
1635984718148,-7,649
1635984718797,-7,665
1635984719839,-7,748
1635984720587,-7,745
1635984721332,-7,697
1635984723032,-7,690
1635984723722,-7,693
1635984724415,-7,891
1635984725306,-7,707
1635984726013,-7,717
1635984726732,-7,720
1635984727452,-7,739
1635984728191,-7,820
1635984729011,-7,841
1635984729852,-7,781
1635984730635,-7,783
1635984731418,-7,742
1635984732160,-7,755
1635984732915,-7,749
1635984733664,-7,744
1635984734870,-7,722
1635984735592,-7,715
1635984736307,-7,713
1635984738023,-7,720
1635984738743,-7,735
1635984739478,-7,745
1635984740223,-7,740
1635984740963,-7,749
1635984741714,-7,758
1635984743122,-7,706
1635984743828,-7,706
1635984744534,-7,685
1635984745219,-7,683
1635984747394,-7,560
1635984747954,-7,668
1635984748622,-7,685
1635984749307,-7,672
1635984749979,-7,668
1635984750649,-7,665
1635984751314,-7,667
1635984751981,-7,659
1635984752640,-7,651
1635984753291,-7,651
1635984753945,-7,644
1635984754589,-7,650
1635984755239,-7,690
1635984755929,-7,690
1635984756619,-7,676
1635984757297,-7,675
1635984757972,-7,666
1635984758638,-7,651
1635984759289,-7,653
1635984759942,-7,656
1635984760934,-7,697
1635984761631,-7,704
1635984762335,-7,718
1635984764055,-7,714
1635984764769,-7,701
1635984765470,-7,692
1635984766162,-7,681
1635984766843,-7,681
1635984767897,-7,687
1635984768584,-7,707
1635984769291,-7,714
1635984771007,-7,706
1635984771713,-7,689
1635984772402,-7,679
1635984773081,-7,657
1635984773738,-7,636
1635984774671,-7,685
1635984775356,-7,707
1635984776063,-7,725
1635984777790,-7,722
1635984778512,-7,712
1635984779224,-7,714
1635984779938,-7,715
1635984780653,-7,724
1635984781851,-7,747
1635984782598,-7,715
1635984783313,-7,691
1635984785006,-7,670
1635984785676,-7,657
1635984786333,-7,710
1635984787043,-7,719
1635984787762,-7,724
1635984788940,-7,726
1635984789666,-7,726
1635984790392,-7,719
1635984791111,-7,719
1635984791830,-7,697
1635984792870,-7,680
1635984793550,-7,687
1635984794237,-7,711
1635984795951,-7,726
1635984796677,-7,727
1635984797404,-7,730
1635984798134,-7,731
1635984798865,-7,713
1635984799794,-7,737
1635984800531,-7,774
1635984801305,-7,729
1635984803037,-7,692
1635984804721,-7,660
1635984805381,-7,676
1635984806057,-7,635
1635984806692,-7,683
1635984807375,-7,722
1635984808100,-7,714
1635984808814,-7,721
1635984809535,-7,721
1635984810256,-7,727
1635984810983,-7,739
1635984811725,-7,749
1635984812474,-7,718
1635984813192,-7,701
1635984813893,-7,698
1635984814591,-7,718
1635984815746,-7,713
1635984816459,-7,717
1635984817176,-7,728
1635984818907,-7,741
1635984819648,-7,756
1635984820404,-7,756
1635984821160,-7,738
1635984821898,-7,677
1635984822867,-7,753
1635984823620,-7,749
1635984824369,-7,751
1635984826121,-7,761
1635984826882,-7,755
1635984827637,-7,744
1635984828381,-7,732
1635984829113,-7,724
1635984829841,-7,708
1635984830549,-7,691
1635984831240,-7,675
1635984831915,-7,649
1635984832564,-7,630
1635984833196,-7,648
1635984833844,-7,671
1635984834515,-7,690
1635984835205,-7,695
1635984835900,-7,691
1635984836593,-7,699
1635984837292,-7,715
1635984838007,-7,732
1635984838739,-7,775
1635984839514,-7,799
1635984840870,-7,749
1635984841619,-7,719
1635984842338,-7,700
1635984844040,-7,690
1635984844730,-7,685
1635984845415,-7,685
1635984846100,-7,681
1635984846781,-7,672
1635984847852,-7,688
1635984848540,-7,681
1635984849221,-7,678
1635984850902,-7,681
1635984851583,-7,685
1635984852268,-7,693
1635984852961,-7,687
1635984853648,-7,686
1635984854706,-7,652
1635984855358,-7,644
1635984856002,-7,589
