unix_epoch_in_miliseconds,timezone_at_sync,bbi
1637342756090,-8,910
1637342757603,-8,669
1637342758272,-8,655
1637342758927,-8,809
1637342759736,-8,897
1637342760633,-8,830
1637342762466,-8,846
1637342763312,-8,950
1637342764262,-8,836
1637342765098,-8,808
1637342765906,-8,800
1637342767512,-8,792
1637342768304,-8,803
1637342769107,-8,795
1637342769902,-8,774
1637342770679,-8,777
1637342771456,-8,953
1637342772409,-8,886
1637342773295,-8,798
1637342774093,-8,757
1637342774854,-8,706
1637342775560,-8,708
1637342776832,-8,648
1637342777480,-8,763
1637342778243,-8,774
1637342779017,-8,802
1637342779819,-8,809
1637342781448,-8,809
1637342782257,-8,802
1637342783059,-8,793
1637342783852,-8,791
1637342785424,-8,858
1637342786282,-8,880
1637342787162,-8,752
1637342787914,-8,759
1637342788680,-8,760
1637342789440,-8,783
1637342790223,-8,756
1637342790979,-8,785
1637342791764,-8,953
1637342792720,-8,736
1637342793456,-8,727
1637342794183,-8,709
1637342794892,-8,695
1637342795587,-8,685
1637342796277,-8,675
1637342796952,-8,635
1637342797587,-8,610
1637342798197,-8,636
1637342798833,-8,675
1637342799864,-8,676
1637342800540,-8,678
1637342801218,-8,684
1637342802904,-8,712
1637342803616,-8,746
1637342804362,-8,707
1637342805069,-8,701
1637342805770,-8,689
1637342806856,-8,681
1637342807537,-8,677
1637342808214,-8,674
1637342809893,-8,683
1637342810576,-8,691
1637342811267,-8,649
1637342811916,-8,588
1637342812504,-8,587
1637342813712,-8,630
1637342814342,-8,632
1637342814974,-8,648
1637342815622,-8,647
1637342816274,-8,654
1637342816928,-8,644
1637342817572,-8,649
1637342818221,-8,645
1637342818866,-8,647
1637342819792,-8,590
1637342820382,-8,530
1637342820912,-8,579
1637342821493,-8,627
1637342822120,-8,635
1637342822755,-8,629
1637342823384,-8,663
1637342824047,-8,714
1637342825760,-8,736
1637342826496,-8,687
1637342827183,-8,659
1637342827842,-8,587
1637342828429,-8,597
1637342829032,-8,592
1637342829624,-8,603
1637342830227,-8,587
1637342830814,-8,591
1637342831405,-8,618
1637342832032,-8,624
1637342832656,-8,635
1637342833291,-8,632
1637342834822,-8,610
1637342835432,-8,625
1637342836057,-8,619
1637342836676,-8,619
1637342837295,-8,625
1637342837923,-8,637
1637342838560,-8,667
1637342839227,-8,687
1637342839914,-8,646
1637342840560,-8,625
1637342841792,-8,590
1637342842382,-8,577
1637342842959,-8,565
1637342843524,-8,567
1637342844105,-8,567
1637342844672,-8,561
1637342845233,-8,552
1637342845785,-8,560
1637342846345,-8,570
1637342847488,-8,577
1637342848065,-8,579
1637342848644,-8,576
1637342849220,-8,577
1637342849798,-8,578
1637342850376,-8,579
1637342850955,-8,577
1637342851532,-8,576
1637342852108,-8,575
1637342852847,-8,581
1637342853428,-8,574
1637342854002,-8,586
1637342854592,-8,600
1637342855192,-8,522
1637342855714,-8,538
1637342856252,-8,531
1637342856783,-8,518
1637342858302,-8,562
1637342858864,-8,653
1637342859517,-8,577
1637342860094,-8,561
1637342860655,-8,572
1637342861228,-8,596
1637342861824,-8,630
1637342862454,-8,638
1637342863092,-8,686
1637342864200,-8,609
1637342864809,-8,606
1637342865415,-8,606
1637342866021,-8,608
1637342866632,-8,608
1637342867240,-8,607
1637342867847,-8,597
1637342868444,-8,568
1637342869012,-8,546
1637342871010,-8,598
1637342871608,-8,608
1637342872216,-8,609
1637342872825,-8,614
1637342873439,-8,615
1637342874065,-8,607
1637342874672,-8,595
1637342875267,-8,601
1637342875868,-8,675
1637342876543,-8,663
1637342877832,-8,625
1637342878457,-8,625
1637342879082,-8,621
1637342879703,-8,604
1637342880311,-8,609
1637342880920,-8,608
1637342881528,-8,610
1637342882138,-8,608
1637342882746,-8,599
1637342883561,-8,627
1637342884188,-8,633
1637342884821,-8,627
1637342885613,-8,550
1637342886163,-8,519
1637342886682,-8,622
1637342888310,-8,674
1637342888984,-8,665
1637342889649,-8,669
1637342890318,-8,645
1637342890963,-8,638
1637342891896,-8,659
1637342892555,-8,728
1637342893283,-8,803
1637342895084,-8,652
1637342895736,-8,618
1637342896354,-8,622
1637342896976,-8,625
1637342897601,-8,615
1637342898217,-8,607
1637342898824,-8,603
1637342899427,-8,589
1637342900016,-8,585
1637342900601,-8,571
1637342901736,-8,588
1637342902324,-8,626
1637342902950,-8,630
1637342903580,-8,626
1637342904210,-8,630
1637342904840,-8,630
1637342905470,-8,629
1637342906099,-8,629
1637342906728,-8,634
1637342907640,-8,634
1637342908274,-8,637
1637342908911,-8,658
1637342910208,-8,657
1637342910865,-8,695
1637342911560,-8,735
1637342912295,-8,626
1637342913925,-8,603
1637342914528,-8,604
1637342915132,-8,597
