unix_epoch_in_miliseconds,timezone_at_sync,bbi
1637082759273,-8,727
1637082760000,-8,829
1637082760829,-8,790
1637082761619,-8,778
1637082762397,-8,777
1637082764169,-8,735
1637082764904,-8,717
1637082765621,-8,775
1637082766396,-8,860
1637082767256,-8,814
1637082768076,-8,804
1637082768880,-8,771
1637082769651,-8,743
1637082770394,-8,733
1637082771127,-8,810
1637082771942,-8,818
1637082772760,-8,801
1637082773561,-8,788
1637082774349,-8,770
1637082775119,-8,764
1637082775884,-8,764
1637082776648,-8,769
1637082777417,-8,778
1637082778195,-8,753
1637082778948,-8,734
1637082779690,-8,726
1637082781460,-8,660
1637082782120,-8,774
1637082782894,-8,802
1637082783696,-8,832
1637082784528,-8,826
1637082786176,-8,819
1637082786995,-8,828
1637082787823,-8,806
1637082788629,-8,769
1637082789400,-8,728
1637082790128,-8,743
1637082790871,-8,763
1637082791634,-8,779
1637082792413,-8,781
1637082794196,-8,780
1637082794976,-8,780
1637082795756,-8,772
1637082796528,-8,776
1637082797304,-8,809
1637082798912,-8,778
1637082799690,-8,776
1637082800466,-8,727
1637082801193,-8,615
1637082801814,-8,762
1637082802576,-8,793
1637082803369,-8,799
1637082804168,-8,838
1637082805006,-8,843
1637082805853,-8,803
1637082806656,-8,734
1637082807390,-8,720
1637082808110,-8,779
1637082808889,-8,777
1637082809673,-8,791
1637082810464,-8,812
1637082811276,-8,867
1637082812231,-8,833
1637082813064,-8,808
1637082813872,-8,809
1637082814681,-8,798
1637082815479,-8,800
1637082816284,-8,900
1637082817184,-8,852
1637082818036,-8,771
1637082818807,-8,764
1637082819571,-8,734
1637082821301,-8,659
1637082821960,-8,619
1637082822579,-8,694
1637082823273,-8,802
1637082824075,-8,746
1637082824826,-8,870
1637082825696,-8,826
1637082826522,-8,716
1637082827238,-8,713
1637082827951,-8,723
1637082829107,-8,669
1637082829776,-8,610
1637082830386,-8,631
1637082832020,-8,684
1637082832704,-8,718
1637082833422,-8,699
1637082834121,-8,668
1637082834789,-8,687
1637082835895,-8,718
1637082836613,-8,713
1637082837326,-8,697
1637082839019,-8,701
1637082839720,-8,704
1637082840424,-8,726
1637082841150,-8,720
1637082841870,-8,762
1637082843288,-8,716
1637082844004,-8,706
1637082844710,-8,712
1637082845422,-8,716
1637082847140,-8,724
1637082847864,-8,745
1637082848609,-8,810
1637082849419,-8,785
1637082850204,-8,730
1637082851624,-8,689
1637082852313,-8,726
1637082853039,-8,736
1637082853775,-8,749
1637082855035,-8,756
1637082855791,-8,757
1637082856548,-8,732
1637082858286,-8,706
1637082858992,-8,661
1637082859653,-8,689
1637082860342,-8,755
1637082861097,-8,775
1637082861873,-8,775
1637082862648,-8,761
1637082863409,-8,744
1637082864153,-8,744
1637082864897,-8,754
1637082866153,-8,746
1637082866899,-8,750
1637082867649,-8,750
1637082868409,-8,751
1637082869160,-8,786
1637082869946,-8,905
1637082870851,-8,856
1637082871707,-8,828
1637082873384,-8,826
1637082874210,-8,819
1637082875029,-8,821
1637082875850,-8,814
1637082877666,-8,806
1637082878472,-8,887
1637082879359,-8,856
1637082880215,-8,835
1637082881050,-8,818
1637082881870,-8,794
1637082882664,-8,819
1637082883483,-8,795
1637082884372,-8,796
1637082885168,-8,793
1637082885961,-8,786
1637082886747,-8,790
1637082887537,-8,795
1637082888336,-8,792
1637082889128,-8,786
1637082889914,-8,768
1637082890682,-8,662
1637082891344,-8,715
1637082893063,-8,817
1637082893880,-8,749
1637082894629,-8,710
1637082895339,-8,720
1637082896059,-8,767
1637082897592,-8,775
1637082898367,-8,765
1637082899132,-8,723
1637082899855,-8,756
1637082901168,-8,738
1637082901906,-8,694
1637082902600,-8,719
1637082904096,-8,792
1637082904888,-8,795
1637082905683,-8,807
1637082906490,-8,816
1637082907311,-8,809
1637082908120,-8,860
1637082908980,-8,823
1637082909803,-8,854
1637082910657,-8,851
1637082912400,-8,846
1637082913246,-8,792
1637082914038,-8,780
1637082914818,-8,756
1637082916440,-8,799
1637082917239,-8,760
1637082917999,-8,760
1637082918759,-8,772
1637082919534,-8,778
1637082920312,-8,794
1637082921106,-8,783
1637082921889,-8,798
1637082924790,-8,786
1637082925576,-8,813
1637082926389,-8,870
1637082927259,-8,857
1637082928116,-8,831
1637082928954,-8,790
1637082929744,-8,795
1637082930539,-8,690
1637082931229,-8,697
1637082931926,-8,746
1637082933206,-8,748
1637082933954,-8,760
1637082934714,-8,786
1637082936280,-8,790
1637082937070,-8,790
1637082937860,-8,805
1637082938665,-8,800
1637082940272,-8,788
1637082941060,-8,805
1637082941865,-8,804
1637082942669,-8,849
1637082943523,-8,781
1637082944304,-8,891
1637082945195,-8,907
1637082946102,-8,772
1637082946874,-8,809
1637082948686,-8,802
1637082949488,-8,797
1637082950285,-8,797
1637082951082,-8,808
1637082951890,-8,830
1637082953568,-8,820
1637082954388,-8,797
1637082955185,-8,760
1637082955945,-8,741
1637082957180,-8,858
1637082958038,-8,856
1637082958894,-8,858
1637082960751,-8,841
1637082961592,-8,856
1637082962448,-8,904
1637082963352,-8,934
1637082964286,-8,894
1637082965928,-8,837
1637082966765,-8,818
1637082967583,-8,804
1637082968391,-8,737
1637082969716,-8,732
1637082970448,-8,772
1637082971220,-8,817
1637082972037,-8,792
1637082972829,-8,816
1637082974650,-8,798
1637082975448,-8,801
1637082976249,-8,819
1637082977068,-8,817
1637082977885,-8,877
1637082979600,-8,904
1637082980504,-8,857
1637082981361,-8,773
1637082982134,-8,802
1637082982944,-8,792
1637082983736,-8,844
1637082984580,-8,813
1637082985393,-8,831
1637082986224,-8,817
1637082987046,-8,802
1637082987848,-8,827
1637082988675,-8,820
1637082989495,-8,811
1637082990306,-8,809
1637082991880,-8,651
1637082992531,-8,703
1637082993234,-8,798
1637082994032,-8,755
1637082994798,-8,730
1637082995528,-8,797
1637082996325,-8,788
1637082997113,-8,802
1637082997915,-8,814
1637082999552,-8,783
1637083000335,-8,747
1637083001082,-8,671
1637083001753,-8,680
1637083003021,-8,820
1637083003841,-8,800
1637083004641,-8,809
1637083005452,-8,820
1637083006272,-8,838
1637083007110,-8,796
1637083009977,-8,783
1637083010760,-8,806
1637083011566,-8,788
1637083012354,-8,778
1637083013132,-8,782
1637083014696,-8,815
1637083015511,-8,740
1637083016251,-8,725
1637083016976,-8,742
1637083017725,-8,795
1637083018520,-8,794
1637083019314,-8,785
1637083020099,-8,799
1637083020898,-8,783
1637083022472,-8,762
1637083023234,-8,753
1637083023987,-8,765
1637083024752,-8,752
1637083025977,-8,757
1637083026734,-8,756
1637083027490,-8,752
1637083028244,-8,796
1637083029040,-8,775
1637083029815,-8,793
1637083030608,-8,808
1637083031416,-8,799
1637083032221,-8,787
1637083033008,-8,805
1637083033813,-8,808
1637083034621,-8,830
1637083035451,-8,825
1637083036280,-8,808
1637083037088,-8,797
1637083037885,-8,807
1637083038692,-8,828
1637083039520,-8,820
1637083040343,-8,825
1637083041168,-8,880
1637083042048,-8,850
1637083042898,-8,848
1637083043746,-8,869
1637083045617,-8,903
1637083046520,-8,937
1637083047457,-8,944
1637083048401,-8,881
1637083049282,-8,841
1637083050935,-8,808
1637083051743,-8,753
1637083052496,-8,823
1637083053330,-8,862
1637083054192,-8,869
1637083055061,-8,864
1637083055925,-8,867
1637083056792,-8,830
1637083058620,-8,828
1637083059448,-8,798
1637083060246,-8,828
1637083061074,-8,824
1637083061898,-8,813
1637083063544,-8,822
1637083064366,-8,838
1637083065204,-8,829
1637083066033,-8,857
1637083066897,-8,855
1637083067752,-8,855
1637083068607,-8,1056
1637083069663,-8,839
1637083070502,-8,816
1637083071750,-8,744
1637083072494,-8,801
1637083073295,-8,844
1637083075141,-8,819
1637083075960,-8,887
1637083076847,-8,818
1637083077665,-8,793
1637083078458,-8,813
1637083079806,-8,712
1637083080518,-8,779
1637083081297,-8,778
1637083083073,-8,807
1637083083880,-8,794
1637083084674,-8,799
1637083085473,-8,803
1637083086276,-8,801
1637083087080,-8,800
1637083087880,-8,821
1637083088701,-8,759
1637083090749,-8,771
1637083091520,-8,768
1637083092288,-8,802
1637083093090,-8,806
1637083093896,-8,798
1637083095640,-8,858
1637083096498,-8,878
1637083097376,-8,856
1637083098232,-8,840
1637083099074,-8,854
1637083099928,-8,852
1637083101032,-8,729
1637083101761,-8,818
1637083102579,-8,789
1637083103368,-8,747
1637083105122,-8,758
1637083105880,-8,785
1637083106665,-8,881
1637083107546,-8,872
1637083108418,-8,879
1637083110005,-8,782
1637083110787,-8,774
1637083111561,-8,824
1637083112391,-8,817
1637083113208,-8,814
1637083114022,-8,847
1637083114869,-8,884
1637083115753,-8,993
1637083117742,-8,850
1637083118592,-8,849
1637083119441,-8,852
1637083120293,-8,806
1637083121099,-8,686
1637083121790,-8,658
1637083122448,-8,826
1637083123274,-8,837
1637083124111,-8,857
1637083124968,-8,861
1637083126648,-8,859
1637083127507,-8,849
1637083128356,-8,891
1637083129247,-8,913
1637083131035,-8,857
1637083131892,-8,870
1637083132762,-8,853
1637083134617,-8,879
1637083135496,-8,897
1637083136393,-8,824
1637083137217,-8,826
1637083138043,-8,817
1637083138862,-8,754
1637083139616,-8,813
1637083140429,-8,835
1637083141264,-8,833
1637083142097,-8,831
1637083142929,-8,831
1637083143760,-8,837
1637083144597,-8,806
1637083145403,-8,809
1637083146212,-8,819
1637083147043,-8,821
1637083147864,-8,827
1637083148691,-8,807
1637083149498,-8,780
1637083150278,-8,877
1637083151156,-8,724
1637083151880,-8,786
1637083152666,-8,720
1637083153386,-8,663
1637083154049,-8,807
1637083155688,-8,867
1637083156555,-8,842
1637083157397,-8,855
1637083158252,-8,853
1637083159109,-8,851
1637083159960,-8,836
1637083160796,-8,853
1637083161649,-8,823
1637083163676,-8,876
1637083164552,-8,775
1637083165327,-8,797
1637083166124,-8,756
1637083166880,-8,789
1637083167671,-8,817
1637083168488,-8,806
1637083169294,-8,847
1637083170141,-8,877
1637083171018,-8,901
1637083172952,-8,887
1637083173839,-8,854
1637083174693,-8,831
1637083175524,-8,901
1637083177130,-8,821
1637083177951,-8,799
1637083178750,-8,777
1637083181065,-8,767
1637083181832,-8,793
1637083182625,-8,804
1637083183429,-8,766
1637083184195,-8,759
1637083185728,-8,801
1637083186529,-8,864
1637083187393,-8,825
1637083188218,-8,789
1637083189015,-8,761
1637083189776,-8,744
1637083190520,-8,812
1637083191332,-8,824
1637083192156,-8,829
1637083192988,-8,836
1637083193824,-8,843
1637083194667,-8,865
1637083195532,-8,846
1637083196378,-8,843
1637083197986,-8,836
1637083198822,-8,783
1637083199605,-8,660
1637083201056,-8,823
1637083201879,-8,836
1637083202715,-8,833
1637083203548,-8,838
1637083205232,-8,849
1637083207311,-8,841
1637083208152,-8,836
1637083208988,-8,839
1637083209827,-8,844
1637083210671,-8,832
1637083212312,-8,797
1637083213109,-8,794
1637083213903,-8,794
1637083214697,-8,809
1637083215514,-8,846
1637083216360,-8,858
1637083217218,-8,858
1637083218076,-8,859
1637083218935,-8,901
1637083220837,-8,891
1637083221728,-8,855
1637083222583,-8,842
1637083223425,-8,827
1637083224252,-8,817
1637083225888,-8,828
1637083226716,-8,822
1637083227538,-8,810
1637083228348,-8,825
1637083229859,-8,846
1637083230705,-8,836
1637083231541,-8,834
1637083232377,-8,839
1637083233216,-8,838
1637083234054,-8,839
1637083234893,-8,831
1637083235724,-8,836
1637083236568,-8,848
1637083237416,-8,852
1637083238268,-8,844
1637083239112,-8,841
1637083239953,-8,838
1637083241784,-8,824
1637083242608,-8,824
1637083243432,-8,820
1637083244252,-8,844
1637083245096,-8,862
1637083245968,-8,872
1637083246840,-8,846
1637083247686,-8,811
1637083248497,-8,842
1637083249339,-8,931
1637083250974,-8,813
1637083251787,-8,820
1637083252607,-8,800
1637083253408,-8,800
1637083254208,-8,819
1637083255027,-8,833
1637083255860,-8,826
1637083256686,-8,820
1637083258312,-8,808
1637083259120,-8,822
1637083259942,-8,806
1637083260748,-8,803
1637083262224,-8,743
1637083262967,-8,773
1637083263740,-8,906
1637083264646,-8,876
1637083265527,-8,801
1637083266328,-8,820
1637083267148,-8,800
1637083267948,-8,832
1637083268780,-8,810
1637083270596,-8,900
1637083271496,-8,788
1637083272284,-8,803
