unix_epoch_in_miliseconds,timezone_at_sync,bbi
1636013783332,-7,683
1636013784015,-7,712
1636013784730,-7,736
1636013785466,-7,735
1636013786201,-7,730
1636013786931,-7,728
1636013787659,-7,712
1636013788373,-7,703
1636013789076,-7,690
1636013789766,-7,677
1636013790443,-7,685
1636013791128,-7,705
1636013791837,-7,727
1636013792564,-7,711
1636013793275,-7,700
1636013793975,-7,693
1636013794668,-7,690
1636013795360,-7,686
1636013796046,-7,672
1636013796718,-7,675
1636013797393,-7,676
1636013798069,-7,675
1636013798746,-7,690
1636013799436,-7,715
1636013800151,-7,708
1636013800859,-7,718
1636013801577,-7,677
1636013803256,-7,654
1636013803910,-7,667
1636013804577,-7,688
1636013805265,-7,703
1636013805968,-7,708
1636013807077,-7,714
1636013807791,-7,707
1636013808498,-7,699
1636013810200,-7,692
1636013810892,-7,691
1636013811583,-7,684
1636013812267,-7,684
1636013812951,-7,675
1636013813932,-7,641
1636013814573,-7,634
1636013815207,-7,627
1636013815837,-7,609
1636013816446,-7,619
1636013817065,-7,654
1636013817719,-7,658
1636013818377,-7,642
1636013819022,-7,650
1636013819672,-7,711
1636013820383,-7,678
1636013821061,-7,642
1636013821703,-7,601
1636013823307,-7,627
1636013823934,-7,652
1636013824586,-7,662
1636013825248,-7,669
1636013825917,-7,668
1636013826913,-7,666
1636013827579,-7,669
1636013828248,-7,666
1636013828917,-7,639
1636013829556,-7,641
1636013830197,-7,645
1636013830842,-7,639
1636013831481,-7,634
1636013834117,-7,661
1636013834778,-7,665
1636013835443,-7,671
1636013836114,-7,671
1636013836785,-7,677
1636013837841,-7,698
1636013838539,-7,697
1636013839236,-7,705
1636013839945,-7,703
1636013840648,-7,691
1636013841339,-7,680
1636013842019,-7,676
1636013842695,-7,672
1636013843369,-7,653
1636013845997,-7,679
1636013846676,-7,674
1636013847350,-7,702
1636013848052,-7,697
1636013848749,-7,686
1636013849792,-7,678
1636013850470,-7,680
1636013851150,-7,664
1636013851817,-7,645
1636013852462,-7,644
1636013853106,-7,655
1636013853761,-7,668
1636013854429,-7,659
1636013856091,-7,673
1636013856764,-7,682
1636013857446,-7,664
1636013858110,-7,656
1636013858766,-7,653
1636013859806,-7,824
1636013860630,-7,668
1636013861298,-7,654
