unix_epoch_in_miliseconds,timezone_at_sync,bbi
1636705637362,-8,633
1636705638001,-8,687
1636705638688,-8,640
1636705639328,-8,584
1636705639912,-8,619
1636705640531,-8,640
1636705642167,-8,649
1636705642816,-8,639
1636705643455,-8,646
1636705644107,-8,637
1636705644744,-8,631
1636705645375,-8,608
1636705645983,-8,624
1636705646607,-8,613
1636705647222,-8,562
1636705647784,-8,572
1636705648356,-8,633
1636705648989,-8,541
1636705649530,-8,558
1636705650529,-8,615
1636705651144,-8,667
1636705651811,-8,697
1636705652508,-8,687
1636705653195,-8,733
1636705653931,-8,637
1636705654568,-8,622
1636705655190,-8,625
1636705655815,-8,636
1636705656451,-8,641
1636705657744,-8,681
1636705658425,-8,747
1636705659172,-8,772
1636705659944,-8,676
1636705660626,-8,670
1636705661296,-8,669
1636705661965,-8,673
1636705662638,-8,676
1636705663314,-8,676
1636705663992,-8,672
1636705664664,-8,670
1636705665334,-8,685
1636705666019,-8,699
1636705666718,-8,731
1636705668319,-8,689
1636705669008,-8,636
1636705669644,-8,625
1636705670269,-8,612
1636705670881,-8,618
1636705672112,-8,601
1636705672713,-8,573
1636705673286,-8,592
1636705673878,-8,612
1636705674499,-8,621
1636705675120,-8,619
1636705675739,-8,635
1636705676374,-8,625
1636705676999,-8,646
1636705678272,-8,609
1636705678881,-8,652
1636705679533,-8,664
1636705680197,-8,645
1636705680843,-8,637
1636705681480,-8,629
1636705682109,-8,574
1636705682683,-8,575
1636705683258,-8,629
1636705684363,-8,645
1636705685008,-8,645
1636705685653,-8,642
1636705686295,-8,645
1636705686940,-8,647
1636705687592,-8,648
1636705688240,-8,658
1636705688898,-8,642
1636705689540,-8,682
1636705690222,-8,641
1636705691496,-8,655
1636705692151,-8,695
1636705692846,-8,683
1636705693529,-8,709
1636705695243,-8,693
1636705695936,-8,717
1636705696653,-8,697
1636705697350,-8,670
1636705698020,-8,655
1636705698970,-8,614
1636705699584,-8,593
1636705700177,-8,624
1636705700805,-8,635
1636705701440,-8,663
1636705702103,-8,697
1636705702800,-8,702
1636705703502,-8,690
1636705705195,-8,685
1636705705880,-8,698
1636705706578,-8,648
1636705707226,-8,610
1636705707836,-8,584
1636705708632,-8,629
1636705709261,-8,638
1636705709899,-8,648
1636705711200,-8,651
1636705711851,-8,639
1636705712490,-8,642
1636705713132,-8,647
1636705714432,-8,643
1636705715075,-8,627
1636705715702,-8,632
1636705716334,-8,621
1636705716961,-8,599
1636705717560,-8,574
1636705718134,-8,617
1636705718751,-8,613
1636705719364,-8,611
1636705719981,-8,627
1636705720608,-8,649
1636705721257,-8,664
1636705721921,-8,679
1636705722600,-8,656
