unix_epoch_in_miliseconds,timezone_at_sync,bbi
1636616654088,-8,701
1636616654789,-8,710
1636616656228,-8,737
1636616656965,-8,745
1636616657710,-8,754
1636616658464,-8,763
1636616659230,-8,774
1636616660004,-8,783
1636616660787,-8,787
1636616661574,-8,791
1636616662365,-8,790
1636616664158,-8,786
1636616664944,-8,782
1636616665726,-8,779
1636616666505,-8,778
1636616667283,-8,779
1636616668648,-8,813
1636616669500,-8,819
1636616670319,-8,862
1636616671181,-8,814
1636616671995,-8,801
1636616672797,-8,827
1636616673624,-8,845
1636616674469,-8,797
1636616675266,-8,815
1636616676081,-8,835
1636616676923,-8,841
1636616677764,-8,852
1636616678616,-8,838
1636616679454,-8,830
1636616680284,-8,820
1636616681832,-8,861
1636616682693,-8,842
1636616683535,-8,822
1636616684357,-8,805
1636616686160,-8,788
1636616686948,-8,759
1636616687707,-8,758
1636616688465,-8,786
1636616689251,-8,806
1636616690065,-8,819
1636616690884,-8,836
1636616691720,-8,841
1636616692561,-8,862
1636616693423,-8,887
1636616695005,-8,844
1636616695849,-8,832
1636616696681,-8,823
1636616697509,-8,839
1636616698348,-8,854
1636616699202,-8,869
1636616700071,-8,909
1636616702144,-8,896
1636616703040,-8,899
1636616703939,-8,919
1636616704858,-8,965
1636616705823,-8,954
1636616706781,-8,923
1636616707704,-8,895
1636616708599,-8,866
1636616709465,-8,828
1636616710293,-8,824
1636616711888,-8,884
1636616712772,-8,849
1636616713621,-8,889
1636616714513,-8,767
1636616715280,-8,764
1636616716044,-8,761
1636616716805,-8,741
1636616717546,-8,770
1636616718319,-8,853
1636616719172,-8,879
1636616720051,-8,882
1636616721652,-8,840
1636616722492,-8,852
1636616723344,-8,860
1636616724204,-8,866
1636616725070,-8,864
1636616726798,-8,862
1636616727660,-8,855
1636616728515,-8,869
1636616729384,-8,889
1636616730273,-8,896
1636616731173,-8,855
1636616732028,-8,877
1636616732905,-8,881
1636616733786,-8,840
1636616734626,-8,837
1636616736312,-8,809
1636616737121,-8,780
1636616737901,-8,771
1636616738672,-8,777
1636616739453,-8,795
1636616740248,-8,796
1636616741044,-8,815
1636616741859,-8,815
1636616742674,-8,819
1636616743496,-8,820
1636616744316,-8,812
1636616745128,-8,760
1636616745888,-8,772
1636616746660,-8,812
1636616747474,-8,822
1636616748296,-8,814
1636616749110,-8,810
1636616749920,-8,825
1636616750745,-8,812
1636616751563,-8,805
1636616752368,-8,784
1636616753152,-8,797
1636616753949,-8,839
1636616754788,-8,848
1636616756500,-8,851
1636616757351,-8,808
1636616758159,-8,835
1636616760260,-8,860
1636616761120,-8,833
1636616761953,-8,826
1636616762779,-8,810
1636616763589,-8,841
1636616764433,-8,883
1636616765316,-8,929
1636616766245,-8,939
1636616767184,-8,949
1636616768133,-8,1025
1636616769164,-8,864
1636616770028,-8,816
1636616770844,-8,853
1636616771697,-8,863
1636616772560,-8,860
1636616774807,-8,853
1636616775660,-8,833
1636616776493,-8,826
1636616777319,-8,825
1636616778144,-8,834
1636616778980,-8,840
1636616779820,-8,839
1636616780659,-8,787
1636616781446,-8,663
1636616782109,-8,712
1636616782823,-8,793
1636616783616,-8,806
1636616784422,-8,814
